t,accuracy,loss,decision
0,0.7913,0.5429169344520569,0
1,0.7913,0.5434693585109711,0
2,0.791,0.5439493291282654,0
3,0.7907,0.5447034082603455,0
4,0.7904,0.5455925784301758,0
5,0.7908,0.5464312483596802,0
6,0.7905,0.5473521585464478,0
7,0.7903,0.5487280766963959,0
8,0.7903,0.549718301744461,0
9,0.7899,0.5504599320125579,0
10,0.7894,0.5513894496059417,0
11,0.7894,0.5522537435340882,0
12,0.7895,0.5534710814857483,0
13,0.7894,0.5547246493911743,0
14,0.7892,0.5556098170089722,0
15,0.7888,0.5567386798858642,0
16,0.7886,0.5576272037315368,0
17,0.7888,0.5586267075920105,0
18,0.7881,0.5600964258575439,0
19,0.7877,0.5612220426559448,0
20,0.7873,0.5625707838439942,0
21,0.7873,0.5638950929260254,0
22,0.7864,0.5656742956924439,0
23,0.7863,0.5672142548179626,0
24,0.7862,0.5687959127807617,0
25,0.7856,0.5704448796463013,0
26,0.7852,0.5723350124549865,0
27,0.7847,0.5742133601379394,0
28,0.7842,0.5758570601081848,0
29,0.7837,0.5779944990730286,0
30,0.7835,0.5793613206386566,0
31,0.7827,0.5822810734939575,0
32,0.7818,0.5843499403572082,0
33,0.7814,0.5864086450958252,0
34,0.7813,0.5883106975173951,0
35,0.7811,0.5904308716964721,0
36,0.7808,0.5921227684020997,0
37,0.7802,0.5941084679031372,0
38,0.7797,0.596194812374115,0
39,0.7789,0.598538969783783,0
40,0.7784,0.6006033377075195,0
41,0.7778,0.6027789516353608,0
42,0.7779,0.6051357290267945,0
43,0.7768,0.6074515679740906,0
44,0.7766,0.6098411580085754,0
45,0.7757,0.6120849959373474,0
46,0.7752,0.6146388125991822,0
47,0.7743,0.617274995355606,0
48,0.7737,0.6201345736026764,0
49,0.7734,0.6228674670314789,0
50,0.7726,0.6257174251937866,0
51,0.7722,0.6282665221405029,0
52,0.7722,0.6312642023086548,0
53,0.7713,0.6341412425613403,0
54,0.7705,0.6368841250038147,0
55,0.7691,0.6397922064208984,0
56,0.7684,0.642820408706665,0
57,0.7677,0.6458656225204468,0
58,0.767,0.6489086572170257,0
59,0.7661,0.6523002349853516,0
60,0.7651,0.7167664371335597,1
61,0.829,0.3180062471294403,0
62,0.8279,0.31886334613323214,0
63,0.8275,0.32002138132095337,0
64,0.8268,0.3211785185813904,0
65,0.8262,0.3221805308437347,0
66,0.8262,0.3234120027446747,0
67,0.826,0.3247178444766998,0
68,0.8256,0.32569362325668333,0
69,0.8252,0.32697134881973267,0
70,0.8247,0.3281614985752106,0
